agency_name,agency_name_secondary,agency_address,agency_phone,agency_website,agency_wheelchair_access,available_beds,intake_open_appointments,populations_served,languages_spoken,last_updated,service_OP,service_IOP,service_RS,service_A_WM,service_R_WM,service_I_WM,service_OTP,service_Male,service_Female,service_Adult,service_TAY,service_Youth,service_MAT,service_Co_Occurring,service_LGBTQIA,service_Veterans,service_Homeless,service_Criminal_Justice,service_Perinatal,service_Parent_Guardian,agency_hours_sunday_open,agency_hours_sunday_close,intake_hours_sunday_open,intake_hours_sunday_close,agency_hours_monday_open,agency_hours_monday_close,intake_hours_monday_open,intake_hours_monday_close,agency_hours_tuesday_open,agency_hours_tuesday_close,intake_hours_tuesday_open,intake_hours_tuesday_close,agency_hours_wednesday_open,agency_hours_wednesday_close,intake_hours_wednesday_open,intake_hours_wednesday_close,agency_hours_thursday_open,agency_hours_thursday_close,intake_hours_thursday_open,intake_hours_thursday_close,agency_hours_friday_open,agency_hours_friday_close,intake_hours_friday_open,intake_hours_friday_close,agency_hours_saturday_open,agency_hours_saturday_close,intake_hours_saturday_open,intake_hours_saturday_close,latitude,longitude
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,Downtown Los Angeles Outpatient - San Pedro,"426 San Pedro Street,Los Angeles, CA 90013",(213) 626-6411,http://www.lacada.com/,Yes,,,Adult; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; I; A; Veterans; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 11/26/2025 9:07:13 AM,False,True,True,False,False,False,False,False,True,True,False,False,True,True,True,True,True,True,False,True,Closed,Closed,,,08:00,21:00,,,08:00,19:30,,,08:00,19:30,,,08:00,21:00,,,07:30,16:00,,,07:30,16:00,,,34.0451634,-118.2432327
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,Downtown Los Angeles Outpatient,"305 South Central Avenue,Los Angeles, CA 90013",(213) 372-5233,http://www.lacada.com/,Yes,,,M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Perinatal; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; I; A; Veterans; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 11/26/2025 9:07:13 AM,False,True,True,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,True,True,Closed,Closed,,,08:00,19:00,,,08:00,21:00,,,08:00,19:00,,,08:00,21:00,,,08:00,17:00,,,08:00,17:00,,,34.0459691,-118.2396683
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,,,(213) 992-9686,http://www.lacada.com/,No,RBHAdult - F: 5,,,English,Last Updated: 11/26/2025 9:07:12 AM,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0451634,-118.2432327
LOS ANGELES CENTERS FOR ALCOHOL AND DRUG ABUSE,L.A. CADA @ LA Mission,,(213) 626-6411,http://www.lacada.com/,No,RBHAdult - M: 10,,,English,Last Updated: 11/26/2025 9:07:12 AM,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0451634,-118.2432327
"ADAPT PROGRAM, INC.",,"1644 Wilshire Boulevard, Suite 101,Los Angeles, CA 90017",(213) 483-5703,,No,,,,EnglishSpanish,Last Updated: 5/17/2023 11:18:18 AM,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0558076,-118.2712928
"ADDICTION RESEARCH AND TREATMENT, INC.",,"1926 West Beverly Boulevard,Los Angeles, CA 90057",(213) 353-1140,https://www.baartprograms.com,Yes,,,Adult; M; A; T; Perinatal,ArmenianEnglishKoreanRussianSpanishTagalog,Last Updated: 11/20/2019 9:09:33 AM,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,07:00,11:00,,,05:30,13:30,,,05:30,13:30,,,05:30,13:30,,,05:30,13:30,,,05:30,13:30,,,07:00,11:00,,,34.0199061,-118.1195413
"BAART BEHAVIORAL HEALTH SERVICES, INC.",,"1926 West Beverly Boulevard,Los Angeles, CA 90057",(213) 353-1140,,No,,,Adult; M; A; T; Perinatal,ArmenianEnglishKoreanRussianSpanishTagalog,Last Updated: 11/20/2022 11:09:48 PM,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,07:00,11:00,,,05:30,13:30,,,05:30,13:30,,,05:30,13:30,,,05:30,13:30,,,05:30,13:30,,,07:00,11:00,,,34.0199061,-118.1195413
"SOCIAL MODEL RECOVERY SYSTEMS, INC.",Royal Palms,"360 South Westlake Avenue,Los Angeles, CA 90057",(213) 483-9202,https://www.socialmodelrecovery.org/,Yes,RS(3.1)Adult - M: 0Adult - F: 0RS(3.5)Adult - M: 0Adult - F: 0,,Adult; M; A; T; L; G; B; T; Q; I; A,EnglishSpanish,Last Updated: 11/26/2025 12:03:21 PM,True,False,True,False,False,False,False,True,True,True,False,False,True,False,True,False,False,False,False,False,07:00,15:30,,,07:00,15:30,,,07:00,15:30,,,07:00,15:30,,,07:00,15:30,,,07:00,15:30,,,07:00,15:30,,,34.0613924,-118.2719932
CLINICA MONSENOR OSCAR A. ROMERO,,"123 South Alvarado Street,Los Angeles, CA 90057",(323) 987-1034,https://www.clinicaromero.com,Yes,,,Youth; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 11/26/2025 8:43:44 AM,False,True,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,True,False,True,Closed,Closed,,,07:00,16:00,,,08:00,19:00,,,08:00,21:00,,,08:00,21:00,,,07:00,16:00,,,08:00,17:00,,,34.0662396,-118.270694
EXODUS RECOVERY INC.,Exodus Recovery SUD Outpatient Program,"1902 Marengo Street, Suite 109-110,Los Angeles, CA 90033",(323) 276-6450,https://www.exodusrecovery.com,Yes,,,Co-; Occurring; Mental; Health; Capabilities; Homeless,English,Last Updated: 11/26/2025 5:40:22 AM,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,07:30,16:00,,,07:30,16:00,,,07:30,16:00,,,07:30,16:00,,,07:30,16:00,,,07:30,16:00,,,Closed,Closed,,,34.0575901,-118.2101059
"HOMELESS HEALTH CARE LOS ANGELES, INC.",,"2330 West Beverly Boulevard,Los Angeles, CA 90057",(213) 744-0724,http://www.hhcla.org,Yes,,,Adult; M; A; T; Parent/; Guardian (; Female) with; Children; Parent/; Guardian (; Male) with; Children; Co-; Occurring; Mental; Health; Capabilities; Homeless,EnglishSpanish,Last Updated: 11/26/2025 2:20:55 PM,False,True,True,False,False,False,False,False,True,True,False,False,True,True,False,False,True,False,False,True,Closed,Closed,,,08:00,16:00,,,08:00,21:00,,,08:00,16:00,,,08:00,21:00,,,08:00,16:00,,,08:00,16:00,,,34.0211076,-118.1252301
"ADDICTION RESEARCH AND TREATMENT, INC.",,"1701 Zonal Avenue,Los Angeles, CA 90033",(323) 223-6298,https://www.baartprograms.com,Yes,,,Adult; M; A; T; Perinatal,EnglishSpanish,Last Updated: 11/20/2019 9:09:32 AM,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,06:00,10:00,,,05:30,13:30,,,05:30,13:30,,,05:30,13:30,,,05:30,13:30,,,05:30,13:30,,,06:00,10:00,,,34.061694,-118.209679
"BAART BEHAVIORAL HEALTH SERVICES, INC.",BAART Boyle Heights,"1701 Zonal Avenue,Los Angeles, CA 90033",(323) 223-6298,,No,,,Adult; M; A; T,EnglishSpanish,Last Updated: 11/20/2022 11:09:48 PM,True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,06:00,21:00,,,05:30,14:00,,,05:30,14:00,,,05:30,14:00,,,05:30,14:00,,,06:00,14:00,,,06:00,21:00,,,34.061694,-118.209679
ESCUELA HISPANA DE ALCOHOL,,"305 North Soto Street, Unit # B,East Los Angeles, CA 90033",(323) 264-7001,,No,,,,EnglishSpanish,Last Updated: 4/5/2022 5:00:02 PM,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0470325,-118.2077459
CLINICA MONSENOR OSCAR A. ROMERO,,"2032 Marengo Street, Suite B ,Los Angeles, CA 90033",(323) 987-1034,https://www.clinicaromero.com,Yes,,,Adult; Youth; Women; Perinatal,EnglishSpanish,Last Updated: 11/26/2025 8:43:44 AM,False,True,True,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,True,False,Closed,Closed,,,07:00,21:00,,,07:00,19:00,,,07:00,19:00,,,07:00,21:00,,,07:00,19:00,,,08:00,17:00,,,34.0562453,-118.2067533
"CRI-HELP, INC.",,,(323) 222-1440,https://www.cri-help.org,No,RBHAdult - M: 0,,,EnglishSpanish,Last Updated: 11/26/2025 8:04:13 AM,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0605014,-118.2145766
"ALCOHOLISM CENTER FOR WOMEN, INC.",,"1135 South Alvarado Street,Los Angeles, CA 90006",(213) 381-8500,http://www.alcoholismcenterforwomen.org,Yes,RS(3.1)Adult - F: 4RS(3.5)Adult - F: 4,,Perinatal; Physically; Disabled; Developmentally; Disabled/; Delayed; L; G; B; T; Q; I; A; Veterans; Homeless; Criminal; Justice; Sexually-; Exploited,English,Last Updated: 11/26/2025 10:17:40 AM,True,False,True,False,False,False,False,False,True,True,False,False,False,False,True,True,True,True,True,False,Closed,Closed,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,16:00,,,34.0497637,-118.2812038
VOLUNTEERS OF AMERICA OF LOS ANGELES,Central City Recovery,"2521 Long Beach Avenue,Los Angeles, CA 90058",(562) 399-5452,,Yes,RS(3.1)Adult - M: 0RS(3.5)Adult - M: 0R-WMAdult - M: 0,,Adult; M; A; T; Co-; Occurring; Mental; Health; Capabilities; Homeless; Criminal; Justice,EnglishSpanish,Last Updated: 11/26/2025 6:05:36 AM,True,False,True,False,True,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,00:00,23:59,,,34.013992,-118.2433386
"ALCOHOLISM CENTER FOR WOMEN, INC.",,"1147 South Alvarado Street,Los Angeles, CA 90006",(213) 381-8500,http://www.alcoholismcenterforwomen.org,Yes,,,Adult; Women; Perinatal; Physically; Disabled; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; I; A; Veterans; Homeless; Criminal; Justice; Sexually-; Exploited,EnglishSpanish,Last Updated: 11/26/2025 10:17:40 AM,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,True,True,True,True,False,Closed,Closed,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,17:00,,,08:00,16:00,,,34.0496075,-118.2813036
"SAFETY CONSULTANT SERVICES, INC.",,"2904 South Main Street,Los Angeles, CA 90007",(213) 748-9444,,No,,,,EnglishSpanish,Last Updated: 6/29/2017 2:00:48 PM,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34.0223432,-118.2701569
"THE SALVATION ARMY, A CALIFORNIA CORPORATION",Hope Harbor Center,"3107 South Grand Avenue,Los Angeles, CA 90007",(213) 744-8186,https://www.bellshelter.salvationarmy.org,Yes,RS(3.1)Adult - M: 0,,Adult; Physically; Disabled; Veterans; Homeless; Sexually-; Exploited,EnglishSpanish,Last Updated: 11/26/2025 8:05:23 AM,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,True,True,False,False,False,10:00,18:00,,,07:00,18:00,,,07:00,16:00,,,07:00,16:00,,,07:00,18:00,,,07:00,16:00,,,07:00,15:00,,,34.0223649,-118.2749963
"CRI-HELP, INC.",Lincoln Heights Recovery Campus Residential,"3619 North Mission Road,Los Angeles, CA 90031",(818) 985-8323,https://www.cri-help.org,Yes,RS(3.1)Adult - M: 0RS(3.5)Adult - M: 0R-WMAdult - M: 4,,Adult; M; A; T; Co-; Occurring; Mental; Health; Capabilities; L; G; B; T; Q; I; A; Homeless; Criminal; Justice,EnglishRussian,Last Updated: 11/26/2025 8:04:13 AM,True,False,True,False,True,False,False,True,False,True,False,False,True,True,True,False,True,True,False,False,01:00,00:00,,,01:00,00:00,,,01:00,00:00,,,01:00,00:00,,,01:00,00:00,,,01:00,00:00,,,01:00,00:00,,,34.0605014,-118.2145766
"JWCH INSTITUTE, INC.",,,(310) 608-1505,https://www.jwchinstitute.org,No,RBHAdult - F: 0,,Women,EnglishSpanish,Last Updated: 11/26/2025 8:57:55 AM,True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.9953414,-118.2699321
